ply,eval,move
0,0,
1,5,8六歩
2,-157,8四歩
3,-152,9六歩
4,-177,3四歩
5,-184,6六歩
6,-172,5四歩
7,-184,5六歩
8,-189,9四歩
9,-27,2六歩
10,-15,6四歩
11,-10,3六歩
12,-15,7四歩
13,-5,7六歩
14,-259,3二金
15,110,7七角
16,-421,4四角
17,-396,6八銀
18,-404,8五歩
19,-374,4八銀
20,-611,8六歩
21,-603,6五歩
22,-5416,7七角成
23,-1023,7七銀
24,-1959,6七角
25,-2138,7八角
26,-5410,7八角成
27,-1063,7八金
28,-1706,4四角
29,-1053,6三角
30,-1161,8七歩成
31,-1179,6八玉
32,-3800,7八と
33,-2354,7八玉
34,-2239,8八金
35,-2300,6七玉
36,-3770,8九金
37,-3734,8三歩
38,-3984,8三飛
39,-4273,7四角成
40,-4511,8七飛成
41,-4508,5五歩
42,-5745,9九金
43,-5507,6四馬
44,-5507,8九竜
45,-5464,5八玉
46,-5429,5六香
47,-5492,6七玉
48,-8018,4九竜
49,-6650,5六玉
50,-6724,5八竜
51,-6756,4五玉
52,-6831,5六桂
53,-6864,5三香
54,-6859,4二玉
55,-5678,9一馬
56,-8174,4八桂成
57,-6697,8一馬
58,-6986,4七竜
59,-6269,5四玉
60,-6203,4五銀
61,-6120,6四玉
62,-6051,7三金
63,-3504,7三玉
64,-4189,5五角
65,-4123,7四玉
66,-8161,2八角成
67,-5993,4五馬
68,-10103,4五竜
69,-10105,6四香
70,-11574,2九馬
71,-8458,6一香成
72,-9719,1九馬
73,-9803,5二金
74,-9838,3三玉
75,-9875,2五桂
76,-10041,2二玉
77,-7930,7一杏
78,-7793,7三飛
79,-7787,8四玉
80,-9618,7一飛
81,-9610,4二歩
82,-11083,2五竜
83,-6552,2五歩
84,-6824,5七角
85,-6729,7五飛
86,-11607,7五飛
87,-6978,7五歩
88,-7199,8七飛
89,-6928,9四玉
90,-6881,9二香
91,-6681,9三飛
92,-6617,8二桂
93,-6617,9五玉
94,-6581,8三桂
