ply,eval,move
0,0,
1,4,8六歩
2,-606,8四歩
3,-602,9六歩
4,-626,3四歩
5,-602,7六歩
6,-4699,8八角成
7,-596,8八飛
8,-949,4四角
9,-599,1五角
10,-119,3三角
11,3554,3三角成
12,-608,3三桂
13,424,7七角
14,81,4四角
15,63,6六歩
16,55,8五歩
17,85,6八飛
18,-149,8六歩
19,860,2六歩
20,-488,3二金
21,-475,6五歩
22,-6194,7七角成
23,-2057,7七桂
24,-2401,5五角
25,-2574,6六角
26,-6441,6六角
27,-2097,6六飛
28,-2436,5五角
29,-2456,6七飛
30,-2497,4二玉
31,-1882,2一角
32,-1920,5一金
33,-1880,4八銀
34,-1890,8四飛
35,-1897,5六歩
36,-1880,4四角
37,-1854,6四歩
38,-2602,6四飛
39,2773,6四飛
40,-2105,6四歩
41,-1773,5五飛
42,-2396,6七飛
43,-2392,6八金
44,-7252,5五角
45,-2147,6七金
46,-2141,4四角
47,-1525,6三飛
48,-2103,8九飛
49,-2106,6八玉
50,-2751,9九飛成
51,-2713,5九金
52,-2962,9六竜
53,-2928,5七銀
54,-2970,9五竜
55,-2960,7八銀
56,-2977,6二銀
57,-3289,6四飛成
58,-3303,4一玉
59,-2611,8七歩
60,-3898,7七角成
61,267,7七銀
62,281,9八竜
63,128,7八角
64,-404,8七歩成
65,-405,6九金
66,-4293,7八と
67,-2930,7八金
68,-3928,8五歩
69,-2536,8七歩
70,-3150,3八角
71,-3162,8四竜
72,-3176,6六歩
73,-2958,6六銀
74,-7002,7八竜
75,-2356,7八玉
76,-3224,2九角成
77,-1761,8一竜
78,-3013,1九馬
79,-1745,8五竜
80,-2018,3七馬
81,-1416,8一飛
82,-1638,4七馬
83,-983,9一飛成
84,-953,4五桂
85,2519,3二角成
86,-1700,3二玉
87,-1707,4八歩
88,-2380,6九角
89,-2372,8八玉
90,-4980,5七桂成
