ply,eval,move
0,0,
1,-19,5八金
2,-47,4二銀
3,-49,6八金
4,-53,1四歩
5,-51,9八香
6,7,7二金
7,5,3八銀
8,-5,1三角
9,-1,8六歩
10,-3,9二香
11,21,7六歩
12,61,3二金
13,63,8五歩
14,18,6一玉
15,546,5五角
16,40,2四角
17,34,6六角
18,23,6二銀
19,55,4九銀
20,5,7一玉
21,7,6九金
22,3,5四歩
23,43,6八銀
24,35,1三桂
25,60,4八飛
26,55,5三銀
27,59,3六歩
28,50,4四歩
29,54,1六歩
30,40,3四歩
31,52,3七桂
32,48,9四歩
33,52,1七香
34,60,3五歩
35,291,3五歩
36,51,3五角
37,24,1八飛
38,22,9三香
39,19,3六歩
40,20,2四角
41,47,4八飛
42,-556,8四歩
43,138,7七角
44,-98,8五歩
45,-494,2六歩
46,-507,8六歩
47,-505,2五歩
48,-200,3三角
49,-192,4五桂
50,-1692,4五歩
51,522,3三角成
52,-1780,3三金
53,152,7七角
54,-1640,3二金
55,-1638,2四歩
56,-2022,5五角
57,834,5五角
58,-3582,5五歩
59,-2978,4一角
60,-3324,6五角
61,-3312,7七桂
62,-3533,7六角
63,-1809,2三歩成
64,-1810,4二金
65,-326,1三と
66,-4979,4一金
67,-3082,2四歩
68,-4414,1三香
69,-4469,2五桂
70,-5130,3七角
71,-3368,1三桂成
72,-4317,9八角成
73,-4349,3八銀
74,-8115,4八角成
75,-3998,4八玉
76,-4622,2八飛
77,-3995,3三角
78,-4027,4三馬
79,-4044,8三香
80,-5295,8三金
