ply,eval,move
0,0,
1,5,1六歩
2,0,1四歩
3,5,9六歩
4,17,6四歩
5,22,3六歩
6,17,2四歩
7,5,4六歩
8,17,4四歩
9,178,2六歩
10,17,8四歩
11,776,2五歩
12,-360,2五歩
13,404,2五飛
14,367,4二銀
15,3937,2二飛成
16,3884,2八歩
17,4170,2八銀
18,4205,3一金
19,5423,1一竜
20,4852,8五歩
21,5791,2四歩
22,5789,4五歩
23,5837,2三香
24,5839,1三桂
25,7220,1三竜
26,7187,6二銀
27,7419,4五歩
28,7415,3四歩
29,7902,1二角
30,7864,4一金
31,8490,2二香成
32,8486,7四歩
33,9008,7八金
34,9000,8六歩
35,9347,8六歩
36,8650,8六飛
37,8648,8七歩
38,8413,3六飛
39,8641,1四竜
40,8649,2六飛
41,8611,3九金
42,8642,3三銀
43,8601,4三桂
44,8620,5二玉
45,8619,3七銀
46,7475,2四飛
47,12154,2四竜
48,7614,2四銀
49,7984,2三飛
50,7980,1四飛
51,7491,2一角成
52,7487,2八歩
53,7718,2八金
54,7716,2七歩
55,7946,2七金
56,7946,2六歩
57,8177,2六銀
58,8198,1三銀
59,8691,3一桂成
60,6760,2二銀
61,8524,2二飛成
62,8503,5一玉
63,11111,4一圭
64,9242,4一玉
65,9155,4二金
