ply,eval,move
0,0,
1,-72,3八金
2,-46,6二玉
3,-40,3六歩
4,-46,4四歩
5,-43,1八香
6,-39,5二玉
7,122,2六歩
8,-39,8四歩
9,-19,7六歩
10,-29,3四歩
11,509,5五角
12,513,5四歩
13,495,6六角
14,510,4五歩
15,4321,2二角成
16,218,2二銀
17,549,2五角
18,178,5五角
19,456,3四角
20,390,5一玉
21,428,3七金
22,-491,9九角成
23,-491,7八銀
24,-995,3二金
25,-755,4五角
26,-1100,8五歩
27,-866,5四角
28,-860,4一玉
29,-826,7七桂
30,-937,3一玉
31,-894,6八玉
32,-842,9五香
33,-837,6三角成
34,-828,3三銀
35,-758,5三馬
36,-907,2二玉
37,-886,5八飛
38,-889,9八馬
39,-905,6三馬
40,-897,5二金
41,-229,8五馬
42,-1055,9七香成
43,-1047,7五馬
44,-1224,8七杏
45,-1288,8六歩
46,-3403,7八杏
47,-1499,7八金
48,-1562,8四歩
49,-1706,5四香
50,-1715,4三金
51,-1119,5三香成
52,-1117,4四金
53,-1096,6五馬
54,-1099,9七馬
55,-1112,6四馬
56,-1019,8九銀
57,-1017,7九金
58,-1003,9八銀
59,-1005,7八金
60,-1026,8七銀
61,1071,8七金
62,-1413,8七馬
63,-1575,7八銀
64,-1752,7六馬
65,-1853,7四歩
66,-1839,7二銀
67,-414,7三歩成
68,-1772,7三銀
69,-1766,6三馬
70,-1985,8六馬
71,-1958,6九玉
72,-1954,7六歩
73,-1957,6五桂
74,-1983,6八歩
75,-1991,7九玉
76,-1989,6四銀
77,-2064,8七歩
78,-2107,9七馬
79,-1737,6八玉
80,-3227,6五銀
81,-3205,7二歩
82,-3263,4五桂
83,-2201,7一歩成
84,-5129,3七桂成
85,-3132,3七桂
86,-4263,7七歩成
87,-2983,7七玉
88,-2967,8三飛
89,-1496,8一と
90,-3271,5三馬
91,816,5三馬
92,841,7六香
93,915,6八玉
94,-3216,5三飛
95,-1956,9一と
96,-4728,7八香成
97,-2820,7八玉
98,-3068,5五飛
99,-2826,6三角
100,-3073,9七角
101,-3036,6九玉
102,-3052,7六銀
103,-3043,2五桂
104,-3015,3四銀
105,-2243,1三桂成
106,-4270,1三桂
107,-4442,5四角成
108,-8534,5四金
109,-8561,3三桂
110,-10005,3三玉
111,-10002,5六歩
112,-10040,6五飛
113,-10072,6六香
114,-10026,7七桂
115,-10010,5九玉
116,-10304,3七角
117,-10251,4九玉
118,-10277,4五飛
119,-10284,4六香
120,-10268,1五飛
