ply,eval,move
0,0,
1,0,8六歩
2,-606,8四歩
3,-606,9六歩
4,-626,3四歩
5,-605,4八飛
6,-620,6二飛
7,-620,1六歩
8,-637,4二銀
9,-637,1八香
10,-642,3三角
11,-642,1五歩
12,-642,1四歩
13,-627,7六歩
14,-4696,8八角成
15,-617,8八銀
16,-952,4四角
17,-737,1四歩
18,-731,8二銀
19,-421,7五角
20,-427,8三銀
21,-416,7七銀
22,-416,7四歩
23,-411,6六角
24,-374,3二金
25,4011,4四角
26,-347,4四歩
27,-347,6六銀
28,-952,8七角
29,-622,4六角
30,-1022,8五歩
31,193,8五歩
32,193,9二銀
33,1133,9一角成
34,918,1四香
35,874,7八金
36,-986,1八香成
37,3666,8七金
38,2181,8六歩
39,2496,6五角
40,1026,2九杏
41,2741,8六金
42,619,3九杏
43,2454,3九金
44,2514,5四桂
45,2553,4九玉
46,2568,7二飛
47,2584,5五馬
48,2580,7三桂
49,2808,7四角
50,701,6六桂
51,2180,6六馬
52,2180,3三金
53,3180,2六歩
54,1780,3二金
55,2007,4四馬
56,2058,3三香
57,2073,1八飛
58,2171,1三銀
59,2101,8四桂
60,2096,8三銀
61,3914,8三角成
62,3931,7一飛
63,4434,9二桂成
64,4528,2七銀
65,5022,1五飛
66,5034,2四銀
67,5005,5五飛
68,4988,3五銀
69,4994,4五馬
70,4815,1六銀成
71,5095,6三馬
72,5086,6二金
73,5291,9三馬
74,5276,6一飛
75,5240,7四馬
76,5252,4四銀
77,5235,5六飛
78,5223,2七全
79,5148,4一銀
80,6548,2二金
81,6954,2五歩
82,6952,6五桂
83,6966,8四馬
84,6726,5七桂
85,8226,5七馬
86,7993,3七全
87,8010,1六飛
88,7998,1三桂
89,8004,3八歩
90,7994,4八歩
91,7979,5八玉
92,7988,7一飛
93,7926,6三桂
94,6475,6三金
95,9045,6三馬
96,9061,4六桂
97,10552,4六飛
98,10289,4七全
99,12168,4七飛
100,12197,4三銀
101,12118,5二金
102,9508,5二銀
103,11851,5二銀成
