ply,eval,move
0,0,
1,-12,5六歩
2,-17,2四歩
3,144,2六歩
4,139,1四歩
5,127,6六歩
6,122,7四歩
7,127,8六歩
8,139,5四歩
9,144,3六歩
10,156,4四歩
11,161,9六歩
12,151,3四歩
13,910,2五歩
14,-225,2五歩
15,539,2五飛
16,528,3三桂
17,489,2四飛
18,494,1三角
19,615,3四飛
20,584,2二飛
21,594,3八銀
22,169,2四角
23,1023,2五歩
24,1005,1五角
25,1046,3七桂
26,-43,2五桂
27,-39,1六歩
28,-34,2六角
29,-35,2七歩
30,-1371,3七角成
31,2785,3七銀
32,135,3七桂成
33,257,3三角
34,263,4二金
35,4509,2二角成
36,431,2二銀
37,928,2一飛
38,1011,3一銀
39,1315,2六歩
40,757,6七角
41,772,7八銀
42,930,3三歩
43,1015,4四飛
44,1059,5三金
45,1085,4五飛
46,1233,4四歩
47,1234,2五飛
48,-1049,4九角成
49,-968,6八玉
50,-1065,6二玉
51,193,2二飛成
52,-3933,2二銀
53,-2029,2二飛成
54,-2047,5二金
55,-907,1一竜
56,-1326,2八飛
57,-1318,5八香
58,-1555,4七圭
59,-1544,4八歩
60,-1777,4八馬
61,-1772,6七銀
62,-1706,5七金
63,-1601,7九玉
64,-3738,6七金
65,-3834,1七銀
66,-3794,8七桂
