ply,eval,move
0,0,
1,-13,4六歩
2,1,4二金
3,-1,1八飛
4,7,4四歩
5,26,7六歩
6,84,7二金
7,613,5五角
8,611,1二香
9,615,8六歩
10,5,8四歩
11,693,7七角
12,685,8五歩
13,1289,2六歩
14,1280,3四歩
15,1282,4五歩
16,1048,8六歩
17,1278,4四歩
18,67,3三角
19,1179,4三歩成
20,-3474,7七角成
21,691,7七桂
22,-624,4三金
23,-273,6五角
24,-325,4八歩
25,13,4八飛
26,-37,4七歩
27,178,4七飛
28,168,3二銀
29,2449,4三角成
30,-1673,4三銀
31,723,4三飛成
32,679,6二金
33,1081,2五歩
34,452,2七角
35,616,2三竜
36,275,5四角
37,1522,1二竜
38,1472,6一玉
39,4173,6二竜
40,-495,6二飛
41,7,2四歩
42,-630,4七飛
43,-656,4八香
44,151,5七飛成
45,176,5八金
46,173,5五竜
47,865,8七歩
48,341,8七歩成
49,350,2八銀
50,895,3八角成
51,814,6五金
52,-2243,6五角
53,2161,6五桂
54,78,2八馬
55,747,8三角
56,728,7二飛
57,4536,7二角成
58,378,7二銀
59,1113,5三桂成
60,-1526,5八竜
61,3122,5八金
62,775,3三角
63,701,6二金
