ply,eval,move
0,0,
1,0,9六歩
2,0,7四歩
3,0,1六歩
4,17,4四歩
5,32,7六歩
6,27,3四歩
7,548,5五角
8,553,4五歩
9,4099,2二角成
10,17,2二飛
11,362,5五角
12,27,6四角
13,4043,2二角成
14,-33,2二銀
15,255,6五飛
16,-71,5五角
17,-120,7八金
18,-1072,9九角成
19,-66,2六歩
20,-1514,8九馬
21,2856,6四飛
22,-1935,6四歩
23,-1292,4三角
24,-1242,7七香
25,35,7七金
26,-2109,7九馬
27,-1269,2一角成
28,-1913,6九飛
29,-1829,4八玉
30,-1795,3一金
31,-1867,4三桂
32,-1833,4二玉
33,1250,3一桂成
34,-775,3一銀
35,-769,5九金
36,-1145,5七馬
37,-1081,4九玉
38,-3208,3九馬
39,944,3九玉
40,-1071,5九飛成
41,-1145,4九金
42,-1099,2七桂
43,338,2七飛
44,409,4八金
45,499,2八玉
46,-2056,4九竜
47,-2105,4四香
48,-2142,5一玉
49,-10,3一馬
50,-610,8四歩
51,59,7三角
52,-4650,7三桂
53,-4629,4一馬
54,-4710,6二玉
55,-4773,6三銀
