ply,eval,move
0,0,
1,4,8六歩
2,-606,8四歩
3,-602,9六歩
4,-626,3四歩
5,-610,4八銀
6,-631,5二飛
7,-607,7六歩
8,-4704,8八角成
9,-604,8八銀
10,-963,5五角
11,64,7七角
12,-4752,7七角成
13,-592,7七桂
14,-1190,8九角
15,-840,1五角
16,-883,4二銀
17,-921,7九金
18,-638,6七角成
19,-636,8五歩
20,-640,1四歩
21,-647,2六角
22,-626,8二飛
23,-621,6五桂
24,-1257,8五歩
25,-1006,5三桂
26,-2506,5三銀
27,-598,5三角成
28,-576,5二金
29,-611,3一馬
30,-604,5六歩
31,814,2一馬
32,-555,5七歩成
33,722,1一馬
34,-1460,4八と
35,-34,4八飛
36,-542,8六歩
37,462,2六歩
38,255,7六馬
39,657,2五歩
40,708,6七桂
41,674,6九玉
42,-2423,7九桂成
43,-385,7九玉
44,-2069,3二金
45,-1360,8七歩
46,-1925,8七歩成
