ply,eval,move
0,0,
1,161,2六歩
2,0,8四歩
3,5,3六歩
4,0,2四歩
5,-12,4六歩
6,0,5四歩
7,5,9六歩
8,0,7四歩
9,-12,6六歩
10,-17,1四歩
11,-12,1六歩
12,0,6四歩
13,759,2五歩
14,-377,2五歩
15,387,2五飛
16,371,2八歩
17,622,2八銀
18,612,1三桂
19,291,2三飛成
20,335,3二金
21,588,1四竜
22,557,3四歩
23,1823,2四歩
24,1237,4四角
25,1092,2三歩成
26,333,8五歩
27,3181,3二と
28,1822,3二銀
29,2755,2四歩
30,2738,2六角
31,2791,6八玉
32,2852,8六歩
33,2867,3七銀
34,2129,8七歩成
35,6440,2六銀
36,2586,8八と
37,2874,9五角
38,2758,8四歩
39,4086,8八銀
40,3571,2七角
41,3609,5九金
42,3605,2八歩
43,3861,8三歩
44,3379,8三飛
45,3510,3七金
46,3505,9四歩
47,3503,8六角
48,3044,8五歩
49,3054,8四歩
50,2830,8四飛
51,2317,9七角
52,-305,2九歩成
53,4249,2七金
54,2990,1九と
55,3703,6四角
56,3678,6七歩
57,3824,6七玉
58,3511,8六歩
59,4107,4二角
60,4046,6二玉
61,3635,5三角成
62,3571,7二玉
63,3849,5四馬
64,3856,6二玉
65,3879,5三馬
66,3803,7二玉
67,3849,5四馬
68,3856,6二玉
69,3879,5三馬
70,3803,7二玉
71,3849,5四馬
72,3856,6二玉
73,3879,5三馬
74,3803,7二玉
75,3849,5四馬
